"RefDes","Origin X (mm)","Origin Y (mm)","Side","Rotate"
"C1","52.697","40.988","Top","180.0"
"C2","66.095","35.877","Top","180.0"
"C3","66.095","46.377","Top","180.0"
"C4","59.388","45.078","Top","90.0"
"C5","60.63","45.322","Top","270.0"
"C6","25.893","59.379","Top","0.0"
"C7","22.549","59.379","Top","180.0"
"C8","57.62","43.504","Top","270.0"
"C9","60.379","36.837","Top","180.0"
"C10","13.183","20.009","Top","90.0"
"C11","52.697","56.077","Top","180.0"
"C12","66.095","50.777","Top","180.0"
"C13","66.048","61.656","Top","180.0"
"C14","59.429","60.116","Top","90.0"
"C15","66.949","18.8","Top","0.0"
"C16","60.617","60.293","Top","270.0"
"C17","59.267","13.287","Top","0.0"
"C18","59.267","15.511","Top","0.0"
"C19","61.668","29.494","Top","0.0"
"C20","61.668","27.294","Top","0.0"
"C21","57.633","59.042","Top","270.0"
"C22","60.49","51.918","Top","180.0"
"C23","70.513","14.056","Top","180.0"
"C24","71.857","14.544","Top","90.0"
"C25","34.478","56.681","Top","0.0"
"D1","13.183","28.741","Top","90.0"
"D2","66.34","22.435","Top","180.0"
"J1","20.803","34.138","Top","90.0"
"J2","18.263","34.138","Top","90.0"
"J3","43.663","34.138","Top","90.0"
"J4","75.095","41.123","Top","90.0"
"J5","29.058","66.84","Top","180.0"
"J6","20.803","66.84","Top","180.0"
"J7","53.823","21.438","Top","90.0"
"J8","75.095","56.077","Top","90.0"
"J9","56.998","29.693","Top","90.0"
"J10","41.123","66.84","Top","180.0"
"J11","53.188","66.193","Top","0.0"
"L1","66.34","28.265","Top","180.0"
"LED1","69.425","32.551","Top","0.0"
"R1","45.67","44.927","Top","270.0"
"R2","25.883","60.49","Top","180.0"
"R3","22.549","60.49","Top","0.0"
"R4","68.796","44.377","Top","180.0"
"R5","68.796","37.777","Top","180.0"
"R6","66.205","32.551","Top","0.0"
"R7","66.512","11.956","Top","180.0"
"R8","63.031","11.956","Top","180.0"
"R9","70.516","15.017","Top","180.0"
"R10","68.493","11.958","Top","180.0"
"R11","68.796","59.338","Top","180.0"
"R12","68.796","52.841","Top","180.0"
"R13","23.184","31.598","Top","180.0"
"R14","41.123","31.598","Top","0.0"
"R15","41.123","27.947","Top","0.0"
"R16","23.184","30.646","Top","0.0"
"R17","41.123","30.328","Top","180.0"
"R18","41.123","26.835","Top","180.0"
"SD1","32.335","17.818","Top","90.0"
"U1","61.495","41.077","Top","270.0"
"U2","61.495","56.077","Top","270.0"
"U3","65.473","15.136","Top","270.0"
"U4","31.598","53.664","Top","0.0"
